name,highway,maxspeed,oneway,reversed,length,rfid_c,rfid,avgspeed,time,EV1_ma,EV1_fr,EV1_ma_PD1,node_A,node_B,edge_fid,lanes,bridge,width,ref,service,junction,tunnel,access,osmid_original
Veenkade,residential,30,True,False,44.51,144,75,30.0,0.001,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493615
Crispijnstraat,residential,30,True,False,282.914,"[2343, 2344, 2345, 2346, 2347, 2348, 2349, 2350, 2351, 2352, 2353, 2354, 1941, 216, 1819, 1820]",120,30.0,0.009,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493645
Sirtemastraat,residential,30,False,True,83.418,1124,521,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493413
Noordstraat,residential,30,False,True,113.73,"[153, 1107, 171]",92,30.0,0.004,-9999.0,0.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493640
Sirtemastraat,residential,30,False,True,195.0,"[2624, 2305, 66, 2307, 1786, 1632, 139, 109, 1776, 81, 1109, 56, 1114, 2620, 2622]",72,30.0,0.012,-9999.0,0.0,1.0,11695230683.0,45141033.0,11695230683_45141033,nan,nan,nan,nan,nan,nan,nan,nan,7493413
Slijkeinde,residential,30,True,False,176.565,"[154, 166, 1583]",88,30.0,0.006,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477550
Veenkade,residential,30,True,False,55.0,156,81,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493615
Helmersstraat,residential,30,True,False,281.763,"[1818, 227, 1940]",130,30.0,0.009,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493657
Vleerstraat,residential,30,False,True,60.008,165,86,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477515
Conradkade,residential,30,True,False,72.093,"[1839, 148, 149, 1497, 1498, 1787]",79,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493614
Marnixstraat,residential,30,True,False,28.0,"[155, 1500, 173, 1499]",95,30.0,0.004,-9999.0,0.0,1.0,45142500.0,11695230684.0,45142500_11695230684,nan,nan,nan,nan,nan,nan,nan,nan,7493575
Da Costastraat,residential,30,True,False,283.35200000000003,"[2625, 2626, 2627, 1939, 1816, 1817, 157]",82,30.0,0.009,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493674
Veenkade,residential,30,True,False,59.441,168,89,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493615
Conradkade,residential,30,True,False,4.98,162,83,30.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493652
Newtonstraat,residential,30,False,True,10.748,"[1456, 1458]",562,30.0,0.0,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,144094847
Chasséstraat,residential,30,True,False,123.618,"[178, 187]",103,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493647
Bakkersstraat,residential,30,True,False,178.482,"[1137, 164, 182]",85,30.0,0.006,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477623
Breedstraat,residential,30,True,False,115.583,167,87,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477624
Geest,residential,30,True,False,69.11699999999999,"[176, 179]",97,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477587
Veenkade,residential,30,True,False,123.008,768,430,30.0,0.004,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493615
Noordwal,residential,30,True,False,265.894,"[170, 2282, 181]",91,30.0,0.009,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493631
De Perponcherstraat,residential,30,False,True,54.178,186,101,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493585
Marnixstraat,residential,30,True,False,64.563,"[190, 2663]",105,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7493575
Marnixstraat,residential,30,True,False,83.0,"[155, 1500, 173, 1499]",95,30.0,0.004,-9999.0,0.0,0.0,11695230684.0,45145535.0,11695230684_45145535,nan,nan,nan,nan,nan,nan,nan,nan,7493575
Pieter van den Zandestraat,residential,30,False,False,100.65299999999999,"[160, 1125, 158]",522,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477317
Geest,residential,30,False,True,76.601,"[1026, 1127, 1362, 2457, 2079]",635,30.0,0.003,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521655
Nobelstraat,residential,30,True,False,46.81,185,99,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477596
Nobelstraat,residential,30,True,False,53.538,"[2597, 1543, 1544, 1100, 1101, 183, 184]",100,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,7477567
Kleine Nobelstraat,residential,30,True,False,54.841,"[1356, 2078, 2455]",546,30.0,0.002,-9999.0,0.0,0.0,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,211521659
